entity_id,state,last_changed
sensor.p2_tmp119,20.9400005340576,2026-02-26T16:40:00.000Z
sensor.p2_tmp119,20.9300003051758,2026-02-26T16:40:02.478Z
sensor.p2_tmp119,20.9400005340576,2026-02-26T16:40:05.477Z
sensor.p2_tmp119,20.9500007629395,2026-02-26T16:40:08.478Z
sensor.p2_tmp119,20.9599990844727,2026-02-26T16:40:11.480Z
sensor.p2_tmp119,20.9699993133545,2026-02-26T16:40:17.482Z
sensor.p2_tmp119,20.9599990844727,2026-02-26T16:40:20.484Z
sensor.p2_tmp119,20.9500007629395,2026-02-26T16:40:26.487Z
sensor.p2_tmp119,20.9599990844727,2026-02-26T16:40:41.492Z
sensor.p2_tmp119,20.9500007629395,2026-02-26T16:40:44.493Z
sensor.p2_tmp119,20.9599990844727,2026-02-26T16:40:47.495Z
sensor.p2_tmp119,20.9500007629395,2026-02-26T16:40:59.497Z
sensor.p2_tmp119,20.9599990844727,2026-02-26T16:41:20.506Z
sensor.p2_tmp119,20.9500007629395,2026-02-26T16:41:32.515Z
sensor.p2_tmp119,20.9599990844727,2026-02-26T16:41:41.517Z
sensor.p2_tmp119,20.9500007629395,2026-02-26T16:41:56.522Z
sensor.p2_tmp119,20.9400005340576,2026-02-26T16:42:05.523Z
sensor.p2_tmp119,20.9500007629395,2026-02-26T16:42:23.532Z
sensor.p2_tmp119,20.9599990844727,2026-02-26T16:42:26.535Z
sensor.p2_tmp119,20.9699993133545,2026-02-26T16:42:29.534Z
sensor.p2_tmp119,20.9799995422363,2026-02-26T16:42:38.535Z
sensor.p2_tmp119,20.9899997711182,2026-02-26T16:42:53.541Z
sensor.p2_tmp119,21.0,2026-02-26T16:42:56.541Z
sensor.p2_tmp119,21.0100002288818,2026-02-26T16:43:02.544Z
sensor.p2_tmp119,21.0200004577637,2026-02-26T16:43:08.548Z
sensor.p2_tmp119,21.0300006866455,2026-02-26T16:43:11.552Z
sensor.p2_tmp119,21.0400009155273,2026-02-26T16:43:17.552Z
sensor.p2_tmp119,21.0499992370605,2026-02-26T16:43:26.555Z
sensor.p2_tmp119,21.0400009155273,2026-02-26T16:43:35.559Z
sensor.p2_tmp119,21.0300006866455,2026-02-26T16:43:41.560Z
sensor.p2_tmp119,21.0200004577637,2026-02-26T16:43:59.567Z
sensor.p2_tmp119,21.0300006866455,2026-02-26T16:44:05.573Z
sensor.p2_tmp119,21.0400009155273,2026-02-26T16:44:11.572Z
sensor.p2_tmp119,21.0499992370605,2026-02-26T16:44:17.574Z
sensor.p2_tmp119,21.0599994659424,2026-02-26T16:44:23.578Z
sensor.p2_tmp119,21.0699996948242,2026-02-26T16:44:29.579Z
sensor.p2_tmp119,21.0599994659424,2026-02-26T16:44:44.589Z
sensor.p2_tmp119,21.0499992370605,2026-02-26T16:44:47.586Z
sensor.p2_tmp119,21.0400009155273,2026-02-26T16:44:56.589Z
sensor.p2_tmp119,21.0300006866455,2026-02-26T16:45:02.593Z
sensor.p2_tmp119,21.0200004577637,2026-02-26T16:45:05.592Z
sensor.p2_tmp119,21.0100002288818,2026-02-26T16:45:08.594Z
sensor.p2_tmp119,21.0,2026-02-26T16:45:14.594Z
sensor.p2_tmp119,20.9899997711182,2026-02-26T16:45:17.595Z
sensor.p2_tmp119,20.9799995422363,2026-02-26T16:45:35.602Z
sensor.p2_tmp119,20.9899997711182,2026-02-26T16:45:44.606Z
sensor.p2_tmp119,21.0,2026-02-26T16:45:50.609Z
sensor.p2_tmp119,20.9899997711182,2026-02-26T16:45:59.611Z
sensor.p2_tmp119,20.9799995422363,2026-02-26T16:46:08.610Z
sensor.p2_tmp119,20.9699993133545,2026-02-26T16:46:23.612Z
